,frameNUM_veh,objectID_veh,p1x_veh,p1y_veh,p2x_veh,p2y_veh,bx_veh,by_veh,cx_veh,cy_veh,type_veh,zone_veh,course_veh,lostCounter_veh,key,frameNUM_ped,objectID_ped,p1x_ped,p1y_ped,p2x_ped,p2y_ped,bx_ped,by_ped,cx_ped,cy_ped,type_ped,zone_ped,course_ped,lostCounter_ped,distance,ped_veh_overlap,ped_veh_buffer_intersect,pet,intersection,video_name,sub_id
21,291,11,599,452,722,548,660,500,660,548,2,4,308.6598083,0,0,317,12,637,487,686,548,661,517,661,548,0,4,293.6293777,64,1,1,1,-0.866666667,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10022019_184715,6
22,380,15,451,468,604,544,527,506,527,544,2,4,73.30075577,0,0,519,21,508,476,544,544,526,510,526,544,0,6,274.0856168,0,1,1,1,-4.633333333,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_074715,9
23,591,3,543,366,588,489,565,427,565,489,2,5,49.76364169,14,0,600,16,499,319,611,476,555,397,555,476,0,5,32.47119229,0,16.40121947,1,1,-0.3,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_074715,13
24,607,16,495,354,616,474,555,414,555,474,7,5,78.11134196,0,0,601,16,504,320,612,470,558,395,558,470,0,5,32.47119229,1,5,1,1,0.2,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_074715,13
25,459,22,507,420,601,477,554,448,554,477,2,5,51.34019175,0,0,600,16,499,319,611,476,555,397,555,476,0,5,32.47119229,0,1.414213562,1,1,-4.7,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_074715,13
26,530,24,517,414,600,471,558,442,558,471,2,5,45,0,0,601,16,504,320,612,470,558,395,558,470,0,5,32.47119229,1,1,1,1,-2.366666667,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_074715,13
27,260,7,526,421,636,527,581,474,581,527,7,4,360,0,0,115,0,566,466,597,527,581,496,581,527,0,4,111.8014095,0,0,1,1,4.833333333,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_084715,0
28,283,16,575,431,668,524,621,477,621,524,2,5,298.6104597,0,0,135,0,605,457,636,524,620,490,620,524,0,4,32.00538321,10,1,1,1,4.933333333,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_084715,0
29,253,5,573,312,628,351,600,331,600,351,2,5,194.0362435,0,0,165,12,572,264,594,332,583,298,583,332,0,5,360,6,25.49509757,1,1,2.933333333,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_084715,2
30,128,7,575,316,625,350,600,333,600,350,2,5,75.96375653,0,0,165,12,572,264,594,332,583,298,583,332,0,5,360,6,24.75883681,1,1,-1.233333333,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_084715,2
31,134,10,558,288,602,325,580,306,580,325,2,5,251.5650512,21,0,156,12,575,273,597,324,586,298,586,324,0,5,180,1,6.08276253,1,1,-0.733333333,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_084715,2
32,681,1,1,511,152,632,76,571,76,632,2,6,241.3895403,0,0,758,37,64,543,93,630,78,586,78,630,0,6,237.6525565,48,2.828427125,1,1,-2.566666667,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_084715,2
33,611,2,48,491,212,595,130,543,130,595,2,6,247.6198649,0,0,753,37,118,517,144,595,131,556,131,595,0,6,242.5924246,43,1,1,1,-4.733333333,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_084715,2
34,656,9,175,442,303,528,239,485,239,528,2,6,230.7105931,0,0,738,37,236,459,259,528,247,493,247,528,0,6,242.2414594,28,8,1,1,-2.733333333,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_084715,2
35,810,34,65,479,233,586,149,532,149,586,2,6,248.6293777,0,0,751,37,137,508,162,586,149,547,149,586,0,6,242.5255684,41,0,1,1,1.966666667,US17-92_@_25TH_ST,US17-92_@_25TH_ST_10032019_084715,2
